2019/11/11 12:44:58 [error] 1682#0: *1363024 open() "/usr/share/zabbix/dadsad" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsad HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 12:45:02 [error] 1682#0: *1363024 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 13:58:50 [error] 1683#0: *1385498 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 13:58:51 [error] 1683#0: *1385498 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 13:58:51 [error] 1683#0: *1385498 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 13:58:51 [error] 1683#0: *1385498 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 13:58:51 [error] 1683#0: *1385498 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 14:00:03 [error] 1682#0: *1385876 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 14:00:04 [error] 1682#0: *1385877 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 14:00:04 [error] 1682#0: *1385877 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 14:01:34 [error] 1682#0: *1386267 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
2019/11/11 14:08:12 [error] 1682#0: *1388017 open() "/usr/share/zabbix/dadsaddasdasd" failed (2: No such file or directory), client: 10.209.2.121, server: vds01-pizg---01.ctd.tn.corp, request: "GET /dadsaddasdasd HTTP/1.1", host: "vds01-pizg---01.ctd.tn.corp"
